nid|state|city|name|url|error
164|GA|Americus|Observer|http://www.americusumterobserver.com/|
165|GA|Americus|Times Recorder|http://americustimesrecorder.com/|
166|GA|Athens|Athens Banner-Herald|http://www.onlineathens.com/|
167|GA|Athens|Flagpole|http://flagpole.com/|
168|GA|Atlanta|Atlanta Business Chronicle|http://www.bizjournals.com/atlanta/|
169|GA|Atlanta|Atlanta Daily World|http://www.atlantadailyworld.com/|
170|GA|Atlanta|Atlanta Journal-Constitution|http://www.ajc.com/|
171|GA|Atlanta|Atlanta Unfiltered|http://www.atlantaunfiltered.com/|
172|GA|Atlanta|Creative Loafing Atlanta|http://clatl.com/|
173|GA|Atlanta|Fulton County Daily Report|http://www.fcdr.com/|
174|GA|Atlanta|LikeTheDew|http://likethedew.com/|Bad url?
175|GA|Augusta|Augusta Chronicle|http://chronicle.augusta.com/|
176|GA|Augusta|The Metro Spirit|https://themetrospirit.com/|
177|GA|Bainbridge|Bainbridge Post-Searchlight|http://www.thepostsearchlight.com|
178|GA|Barnesville|Barnesville Herald Gazette|http://www.barnesville.com/|
179|GA|Baxley|Baxley News-Banner|http://www.baxleynewsbanner.com/|
180|GA|Blackshear|The Blackshear Times|http://www.theblacksheartimes.com/|
181|GA|Blakely|Early County News|http://www.earlycountynews.com/|
182|GA|Blue Ridge|The News Observer|http://www.thenewsobserver.com/|
183|GA|Brunswick|The Brunswick News|http://www.thebrunswicknews.com/|
184|GA|Calhoun|Calhoun Times|http://www.calhountimes.com/|
185|GA|Canton|Cherokee Tribune|http://www.cherokeetribune.com/|
186|GA|Carrollton|The Times Georgian|http://www.times-georgian.com/|
187|GA|Cartersville|Daily Tribune|http://www.daily-tribune.com/|
188|GA|Cedartown|Cedartown Standard|http://www.cedartownstd.com/|
189|GA|Claxton|The Claxton Enterprise|http://www.claxtonenterprise.com/v2/content.aspx?IsHome=1&MemberID=1304&ID=27117|
190|GA|Clayton|Clayton Tribune|http://www.theclaytontribune.com/|
191|GA|Colquitt|Miller County Liberal|http://www.millercountyliberal.com/|
192|GA|Columbus|Columbus Ledger-Enquirer|http://www.ledger-enquirer.com/|
193|GA|Conyers|Rockdale Citizen|http://www.citizenonline.net/|
194|GA|Conyers|The Rockdale News|http://www.rockdalenews.com/|
195|GA|Cordele|Cordele Dispatch|http://cordeledispatch.com/|
196|GA|Cornelia|The Northeast Georgian Online|http://www.thenortheastgeorgian.com/|
197|GA|Covington|Newton Citizen|http://www.rockdalecitizen.com/newtonhome|
198|GA|Covington|The Covington News|http://www.covnews.com/|
199|GA|Cumming|CummingHome.com|http://www.cumminghome.com/|
200|GA|Cumming|Forsyth County News|http://www.forsythnews.com/|
201|GA|Dahlonega|Dahlonega Nugget|http://www.thedahloneganugget.com/|
202|GA|Dalton|Dalton Daily Citizen|http://daltondailycitizen.com/|
203|GA|Dawsonville|Dawson News & Advertiser|http://www.dawsonadvertiser.com/|
204|GA|Dawsonville|DawsonTimes.com|http://www.dawson.cumminghome.com/|
205|GA|Dawsonville|Dawsonville Community News|http://www.dawsonnews.com/|
206|GA|Decatur|Champion Online|http://www.championnewspaper.com/|
207|GA|Douglas|The Douglas Enterprise|http://www.douglasenterprise.net/|
208|GA|Douglasville|Douglas County Sentinel|http://www.douglascountysentinel.com/|
209|GA|Dublin|Courier Herald|http://www.courier-herald.com/|
210|GA|Dunwoody|Dunwoody Crier|http://www.thecrier.net/|
211|GA|Eastman|Dodge County News|http://www.dodgecountynews.com/|
212|GA|Eatonton|The Eatonton Messenger|http://www.msgr.com/|
213|GA|Elberton|The Elberton Star & Examiner|http://www.elberton.com/|
214|GA|Ellijay|Times-Courier|http://www.timescourier.com/v2/content.aspx?IsHome=1&MemberID=1252&ID=1319|
215|GA|Fayetteville|The Citizen Online|http://www.thecitizen.com/|
216|GA|Fayetteville|The Fayette Front Page|http://www.fayettefrontpage.com/|
217|GA|Fitzgerald|The Herald-Leader|http://www.herald-leader.net/v2/content.aspx?IsHome=1&MemberID=1678&ID=8481|
218|GA|Forsyth|The Monroe County Reporter|http://www.mymcr.net/|
219|GA|Gainesville|The Times|http://www.gainesvilletimes.com/|
220|GA|Glennville|Glennville Sentinel|http://www.glennvillesentinel.net/|
221|GA|Gray|Jones County News|http://www.jcnews.com/|
222|GA|Griffin|Griffin Daily News|http://www.griffindailynews.com/|
223|GA|Griffin|Griffin Journal|http://griffinjournal.com/|
224|GA|Hartwell|The Hartwell Sun|http://www.thehartwellsun.com/|
225|GA|Hazlehurst|Jeff Davis County Ledger|http://www.jdledger.com/content.aspx?IsHome=1&MemberID=1284&ID=2379&Module=Quickpage|
226|GA|Hinesville|The Coastal Courier|http://www.coastalcourier.com/|
227|GA|Homerville|The Clinch County News|http://www.theclinchcountynews.com/v2/content.aspx?IsHome=1&MemberID=1340&ID=4021|
228|GA|Jasper|Pickens County Progress|http://www.pickensprogressonline.com/|
229|GA|Jefferson|Main Street News|http://www.mainstreetnews.com/|
230|GA|Jesup|The Press-Sentinel|http://www.thepress-sentinel.com/|
231|GA|Jonesboro|Clayton News Daily|http://www.mycountypaper.com/claytonnewsdaily|
232|GA|La Fayette|Walker County Messenger|http://www.catwalkchatt.com/|
233|GA|Lagrange|LaGrange Daily News|http://www.lagrangenews.com/|
234|GA|Lavonia|Franklin County Citizen|http://www.franklincountycitizen.com/|
235|GA|Lawrenceville|Gwinnett Daily Post|http://www.gwinnettdailypost.com/|
236|GA|Lincolnton|Lincoln Journal|http://www.lincolnjournalonline.com/|
237|GA|Louisville|The News and Farmer|http://www.thenewsandfarmer.com/|
238|GA|Macon|Macon Telegraph|http://www.macon.com/mld/telegraph/|
239|GA|Macon|The Georgia Informer|http://www.gainformer.com/|
240|GA|Macon|The Macon Daily|http://www.macondaily.com/|
241|GA|Madison|Morgan County Citizen|http://www.morgancountycitizen.com/|
242|GA|Manchester|The Manchester Star-Mercury|http://www.smalltownpapers.com/listMSM.htm|
243|GA|Marietta|Cobb Online|http://www.cobbonline.com/|
244|GA|Marietta|Marietta Daily Journal|http://www.mdjonline.com/|
245|GA|Martinez|Columbia Co. News Times|http://newstimes.augusta.com/|
246|GA|McDonough|The Daily Herald|http://www.mycountypaper.com/henrydailyherald|
247|GA|Metter|The Metter Advertiser|http://www.metteradvertiser.com/v2/content.aspx?IsHome=1&MemberID=1287&ID=2610|
248|GA|Milledgeville|The Baldwin Bulletin|http://www.heraldpublishingcompany.com/pages/home_baldwin|
249|GA|Milledgeville|The Union-Recorder|http://unionrecorder.com/|
250|GA|Millen|The Millen News|http://www.themillennews.com/|
251|GA|Monroe|The Walton Tribune|http://waltontribune.com/|
252|GA|Monticello|The Monticello News|http://themonticellonews.com/|
253|GA|Moultrie|The Moultrie Observer|http://moultrieobserver.com/|
254|GA|Newnan|Newnan Times-Herald|http://www.times-herald.com/|
255|GA|Norcross|The Weekly|http://www.theweekly.com/|
256|GA|Perry|Houston Home Journal|http://www.hhjnews.com/v2/content.aspx?IsHome=1&MemberID=1275&module=Page&ID=4081|
257|GA|Reidsville|Tattnall Journal|http://www.tattnalljournal.com/|
258|GA|Ringgold|Catoosa County News|http://www.catoosanews.com/|
259|GA|Rockmart|Rockmart Journal|http://www.rockmartjrl.com/|
260|GA|Rome|Rome News-Tribune|http://www.rn-t.com/|
261|GA|Saint Marys|Tribune|http://www.tribune-georgian.com/|
262|GA|Savannah|Connect Savannah|http://www.connectsavannah.com/|
263|GA|Savannah|Morning News|http://savannahnow.com/|
264|GA|Savannah|Savannah Daily News|http://savdailynews.com/|
265|GA|Savannah|Savannah Tribune|http://www.savannahtribune.com/|
266|GA|Shellman|The Citizen News|http://www.thecitizen.biz/|
267|GA|Snellville|OurTown|http://www.ourtown.com/snellvillega/|
268|GA|Statesboro|Connect Statesboro|http://www.connectstatesboro.com/|
269|GA|Statesboro|Statesboro Herald|http://www.statesboroherald.com/|
270|GA|Stone Mountain|OurTown|http://www.ourtown.com/stonemountainga/|
271|GA|Swainsboro|The Blade Plus Mobile|http://www.thebladeplus.com/|Bad url?
272|GA|Swainsboro|The Forest-Blade|http://www.forest-blade.com/|
273|GA|Sylvania|The Sylvania Telephone|http://www.sylvaniatelephone.com/|
274|GA|Thomaston|Thomaston Times|http://www.thomastontimes.com/|
275|GA|Thomasville|Times-Enterprise|http://timesenterprise.com/|
276|GA|Thomson|The McDuffie Mirror|http://mirror.augusta.com/|
277|GA|Thomson|The McDuffie Progress|http://www.mcduffieprogress.com|
278|GA|Tifton|Tifton Gazette|http://tiftongazette.com/|
279|GA|Toccoa|The Toccoa Record|http://www.thetoccoarecord.com|
280|GA|Trenton|Dade County Sentinel|http://www.dadesentinel.com/content.aspx?IsHome=1&MemberID=1338&module=Page&ID=3307|
281|GA|Valdosta|Valdosta Daily Times|http://valdostadailytimes.com/|
282|GA|Vidalia|The Advance Newspaper|http://www.theadvancenews.com/|
283|GA|Washington|The News Reporter|http://www.news-reporter.com/|
284|GA|Watkinsville|Oconee Enterprise|http://www.oconeeenterprise.com/|
285|GA|Waycross|Waycross Journal-Herald|http://www.wjhnews.com/|
286|GA|Waynesboro|The True Citizen|http://www.thetruecitizen.com/|
287|GA|Winder|The Barrow County News|http://barrowcountynews.com/|
288|GA|Woodstock|Cherokee Ledger News|http://www.ledgernews.com/|
289|GA|Zebulon|The Journal Reporter|http://www.pikecountygeorgia.com/|
290|SC|Aiken|Aiken Standard|http://www.aikenstandard.com/|
291|SC|Anderson|Anderson Independent-Mail|http://www.independentmail.com/|
292|SC|Barnwell|People-Sentinel|http://www.thepeoplesentinel.com/|
293|SC|Beaufort|The Beaufort Gazette|http://www.islandpacket.com/beaufortgazette/|
294|SC|Bennettsville|Marlboro Herald-Advocate|http://www.heraldadvocate.com/|
295|SC|Bluffton|Bluffton Today|http://www.blufftontoday.com/|
296|SC|Camden|Chronicle-Independent|http://www.chronicle-independent.com/|
297|SC|Charleston|Charleston City Paper|http://www.charlestoncitypaper.com/|
298|SC|Charleston|Low Country Today|http://www.lowcountrytoday.com/|
299|SC|Charleston|Regional Bus. Journal|http://www.charlestonbusiness.com/|
300|SC|Charleston|The Post and Courier|http://www.postandcourier.com/|
301|SC|Charleston|TheDigitel|http://charleston.thedigitel.com/|
302|SC|Cheraw|The Cheraw Chronicle|http://www.thecherawchronicle.com/|
303|SC|Chester|The Chester News and Reporter|http://www.onlinechester.com/|
304|SC|Clinton|Clinton Chronicle|http://www.clintonchronicle.com/|
305|SC|Clover|The Clover Herald|http://www.enquirerherald.com/|
306|SC|Columbia|Columbia City Paper|http://www.columbiacitypaper.com/|
307|SC|Columbia|Columbia Star|http://www.thecolumbiastar.com/|
308|SC|Columbia|Free Times|http://www.free-times.com/|
309|SC|Columbia|The State|http://www.thestate.com/|
310|SC|Dillon|The Dillon Herald|http://www.thedillonherald.com/|
311|SC|Edgefield|The Citizen News|http://www.citizen-news.com|
312|SC|Edgefield|The Edgefield Advertiser|http://www.edgefieldadvertiser.com|
313|SC|Florence|Morning News|http://www2.scnow.com/community/morningnews/|
314|SC|Fort Mill|Fort Mill Times|http://www.fortmilltimes.com/|
315|SC|Gaffney|The Ledger|http://www.gaffneyledger.com/|
316|SC|Georgetown|Georgetown Times|http://www.gtowntimes.com/|
317|SC|Greenville|GSA Business Journal|http://www.gsabusiness.com/|
318|SC|Greenville|The Greenville News|http://www.greenvilleonline.com/|
319|SC|Greenwood|The Index-Journal|http://www.indexjournal.com/|
320|SC|Greer|Citizen|http://greercitizen.com/index.asp|
321|SC|Hartsville|The Messenger|http://www2.scnow.com/community/messenger/|
322|SC|Hilton Head Island|The Island Packet|http://www.islandpacket.com/|
323|SC|Kingstree|The News|http://www.kingstreenews.com/|
324|SC|Lake Wylie|The Lake Wylie Pilot|http://www.lakewyliepilot.com/|
325|SC|Lancaster|The Lancaster News|http://www.thelancasternews.com/|
326|SC|Landrum|The Leader News|http://www.upstatenewspapers.com/|
327|SC|Laurens|GoLaurens.com|http://www.golaurens.com/|
328|SC|Lexington|Lexington County Chronicle|http://lexingtonchronicle.com/|
329|SC|Manning|Clarendon Citizen|http://www.clarendoncitizen.com/|
330|SC|Myrtle Beach|The Sun News|http://www.thesunnews.com/|
331|SC|Orangeburg|Times & Democrat|http://www.thetandd.com/|
332|SC|Pickens|The Pickens Sentinel|http://www.pickenssentinel.com|
333|SC|Rock Hill|The Herald|http://www.heraldonline.com/|
334|SC|Saluda|Saluda Standard Sentinel|http://www.saludastandard-sentinel.com/public%5Fhtml/saludastandard%2Dsentinel/|
