nid, name, url, lat, lng, offsetLat, offsetLng
667,Versailles Republican,www.ripleynews.com,39.063914,-85.256487,0.101333126741,0.130509343309
668,Vincennes Sun-Commercial,www.suncommercial.com,38.676101,-87.511119,0.101330880676,0.129796376191
669,Wabash Plain Dealer,www.wabashplaindealer.com,40.802509,-85.832537,0.101343273138,0.13388080051
670,Times-Union,www.timesuniononline.com,41.242505,-85.84757,0.101345858043,0.134781682079
671,Times Sentinel,timessentinel.com,39.959228,-86.27115,0.10133833716,0.132208894505
672,Ada Evening News,adaeveningnews.com,34.768432,-96.669108,0.101308716631,0.123327102396
673,Altus Times,www.altustimes.com,34.657061,-99.309046,0.101308099665,0.123160393694
674,Alva Review Courier,news.mywebpal.com,36.801087,-98.667907,0.101320129622,0.126536278381
675,The Antlers American,www.theantlersamerican.com,34.233078,-95.621391,0.101305759509,0.122534057856
676,The Daily Ardmoreite,www.ardmoreite.com,34.193966,-97.124957,0.101305544329,0.122476936403
677,Examiner-Enterprise,www.examiner-enterprise.com,36.738068,-95.948021,0.101319771726,0.126431872853
678,Bixby Bulletin,bixbybulletin.com,35.948513,-95.875743,0.101315308801,0.125150950334
679,Journal Tribune,www.blackwelljournaltribune.net,36.800981,-97.300573,0.101320129019,0.126536102495
680,The Boise City News,www.boisecitynews.org,36.73093,-102.511159,0.101319731203,0.126420067581
681,Broken Arrow Daily Ledger,baledger.com,36.036529,-95.780996,0.101315804319,0.125291282737
682,Express-Star,chickashanews.com,35.040543,-97.947173,0.101310227915,0.123738291782
683,Claremore Daily Progress,claremoreprogress.com,36.313216,-95.610625,0.101317365327,0.125736421265
684,Clinton Daily News,www.clintondailynews.com,35.505647,-98.974253,0.101312823427,0.124454017342
686,Coweta American,cowetaamerican.com,35.967106,-95.655823,0.101315413435,0.125180544209
687,Duncan Banner,duncanbanner.com,34.50615,-98.005384,0.101307265145,0.122935954756
688,Durant Daily Democrat,www.durantdemocrat.com,33.99557,-96.394176,0.10130445468,0.122188879505
689,Edmond Evening Sun,www.edmondsun.com,35.673807,-97.413076,0.101313765574,0.124716857696
690,El Reno Tribune,www.elrenotribune.net,35.541833,-97.961268,0.101313026001,0.124510393499
691,Elk Citian,www.elkcitian.com,35.417756,-99.39902,0.101312331781,0.124317505315
692,Enid News and Eagle,enidnews.com,36.405687,-97.869862,0.101317888127,0.125886550239
693,Frederick Leader,www.altustimes.com,34.352531,-98.986776,0.101306417429,0.122709198113
694,The Grove Sun Daily,www.grovesun.com,36.592166,-94.795112,0.101318944056,0.126191395739
695,Guymon Daily Herald,guymondailyherald.com,36.690101,-101.478018,0.101319499475,0.126352621935
696,Hugo Daily News,www.hugonews.com,34.012053,-95.510794,0.101304545091,0.122212704345
697,Kingfisher Times,kingfisherpress.net,35.843117,-97.937906,0.101314716114,0.12498370696
698,Lawton Constitution,www.swoknews.com,34.617048,-98.4204,0.10130787823,0.123100722411
699,McAlester News,mcalesternews.com,34.926816,-95.769944,0.101309595623,0.123565766468
700,Miami News-Record,www.miaminewsrecord.com,36.887917,-94.872945,0.101320623138,0.12668066571
701,Muskogee Daily Phoenix,muskogeephoenix.com,35.741355,-95.360154,0.101314144569,0.124823052922
702,Newkirk Herald Journal,newkirkherald.com,36.881671,-97.055436,0.101320587622,0.126670258716
703,Norman Transcript,normantranscript.com,35.240577,-97.345306,0.101311342322,0.124044103499
704,The Journal Record,journalrecord.com,35.46708,-97.513657,0.101312607624,0.12439404234
705,The Oklahoma Constitution,www.oklahomaconstitution.com,35.46708,-97.513657,0.101312607624,0.12439404234
706,The Oklahoman,newsok.com,35.46708,-97.513657,0.101312607624,0.12439404234
707,Pauls Valley Daily Democrat,paulsvalleydailydemocrat.com,34.727658,-97.236606,0.101308490646,0.123265962441
708,Ponca City News,www.Poncacitynews.com,36.721042,-97.068445,0.101319675074,0.12640372106
709,Poteau Daily News,www.poteaudailynews.com,35.042765,-94.635207,0.101310240279,0.123741672231
710,Purcell Register,www.purcellregister.com,35.024677,-97.370423,0.101310139648,0.12371416474
711,Sequoyah County Times,www.sequoyahcountytimes.com,35.46215,-94.805249,0.101312580045,0.124386383985
712,Sand Springs Leader,sandspringsleader.com,36.13648,-96.131989,0.101316367648,0.125451384876
713,Sapulpa Daily Herald,www.sapulpaheraldonline.com,36.00204,-96.123828,0.10131561009,0.125236220986
714,Seminole Producer,www.seminoleproducer.com,35.234097,-96.65167,0.101311306176,0.124034149533
715,Shawnee News-Star,www.news-star.com,35.363903,-96.960453,0.101312030804,0.124234152863
716,Stigler News Sentinel,stiglernews.com,35.25621,-95.119213,0.101311429535,0.124068130539
717,Stillwater News-Press,www.stwnewspress.com,36.137051,-97.072421,0.101316370868,0.125452301777
718,Sulphur Times-Democrat,www.sulphurtimes.com,34.513928,-96.969671,0.101307308114,0.122947481616
719,Tahlequah Daily Press,tahlequahdailypress.com,35.911805,-94.977102,0.101315102292,0.12509260303
720,GTR Newspapers,www.gtrnews.com,36.127949,-95.902316,0.101316319541,0.125437689029
721,Tulsa World,www.tulsaworld.com,36.127949,-95.902316,0.101316319541,0.125437689029
722,Urban Tulsa,www.urbantulsa.com,36.127949,-95.902316,0.101316319541,0.125437689029
723,Wagoner Tribune,wagonertribune.com,35.963528,-95.379596,0.101315393298,0.125174847114
724,Ashland City Times,www.tennessean.com,36.256083,-87.032579,0.10131704259,0.125644006237
725,Daily Post Athenian,dpa.xtn.net,35.452422,-84.603856,0.101312525632,0.124371277787
726,Business Journal Of Tri-Cities,www.bjournal.com,36.532979,-82.32887,0.101318608677,0.126094335969
727,Piney Bluff Gazette,pineybluffgazette.tricitiesonline.net,36.459484,-82.277888,0.101318192526,0.125974206781
728,Carthage Courier,carthagecourier.com,36.256436,-85.943091,0.101317044583,0.12564457643
729,Chattanooga Times,www.timesfreepress.com,35.066464,-85.247065,0.101310372161,0.123777749856
730,The Chattanoogan,www.chattanoogan.com,35.066464,-85.247065,0.101310372161,0.123777749856
731,The Pulse,chattanoogapulse.com,35.066464,-85.247065,0.101310372161,0.123777749856
732,Leafchronicle.com,www.theleafchronicle.com,36.56643,-87.345216,0.101318798198,0.126149156854
733,Cleveland Daily Banner,www.clevelandbanner.com,35.182101,-84.870969,0.10131101625,0.123954393228
734,The People's News,www.thepeoplenews.com,35.182101,-84.870969,0.10131101625,0.123954393228
735,The Courier News,www.hometownclinton.com,36.099579,-84.128069,0.101316159596,0.125392184673
736,The Daily Herald,www.columbiadailyherald.com,35.622509,-87.049766,0.101313477962,0.124636445837
737,Herald-Citizen,www.herald-citizen.com,36.147686,-85.505233,0.101316430846,0.125469383985
738,The Covington Leader,www.covingtonleader.com,35.565029,-89.648342,0.101313155903,0.124546584771
739,Crossville Chronicle,crossville-chronicle.com,35.95196,-85.03022,0.101315328198,0.125156434763
740,Herald-News,rhea.xtn.net,35.492126,-85.011864,0.101312747758,0.124432978038
741,Dickson Herald,www.tennessean.com,36.06387,-87.366138,0.101315958349,0.125334999312
742,Dresden Enterprise,www.eclassifiedsnetwork.com,36.277008,-88.693465,0.101317160768,0.12567782307
743,The State Gazette,www.stategazette.com,36.044923,-89.377947,0.101315851603,0.125304697954
744,Eagleville Times,www.eaglevilletimes.com,35.740208,-86.655021,0.101314138131,0.124821246718
745,Elizabethton Star,www.starhq.com,36.339572,-82.2378,0.10131751428,0.125779141103
746,The Erwin Record,www.erwinrecord.net,36.145833,-82.411994,0.101316420395,0.125466407004
747,The Valley Beautiful Beacon,www.vbbeacon.com,36.145833,-82.411994,0.101316420395,0.125466407004
748,The Fairview Observer,www.tennessean.com,35.982389,-87.12702,0.101315499458,0.125204889998
749,Elk Valley Times,www.elkvalleytimes.com,35.146571,-86.55506,0.101310818248,0.1239000115
750,The Review Appeal,www.tennessean.com,35.921251,-86.852281,0.101315155424,0.125107607337
751,Williamson Herald,www.williamsonherald.com,35.921251,-86.852281,0.101315155424,0.125107607337
752,News-Examiner,www.tennessean.com,36.378477,-86.469097,0.101317734234,0.125842302963
753,Germantown News,www.germantownnews.com,35.081957,-89.782584,0.1013104584,0.123801358069
754,Greeneville Sun,www.greenevillesun.com,36.168023,-82.819673,0.101316545561,0.125502074761
755,Star News,www.tennessean.com,36.307295,-86.598891,0.101317331871,0.125726831692
756,Carroll County News-Leader,www.magicvalleypublishing.com,36.006102,-88.41725,0.101315632962,0.12524270111
757,The Jackson Sun,www.jacksonsun.com,35.649137,-88.830597,0.101313627234,0.124678160999
758,The Standard Banner,www.standardbanner.com,36.120125,-83.483471,0.101316275425,0.125425133282
759,Johnson City Press,www.johnsoncitypress.com,36.338218,-82.377427,0.101317506626,0.125776945081
760,TriCities.com,www2.tricities.com,36.338218,-82.377427,0.101317506626,0.125776945081
761,Herald & Tribune,www.heraldandtribune.com,36.295835,-82.476551,0.101317267122,0.125708279187
762,Kingsport Daily News,www.kingsportdailynews.com,36.524936,-82.547384,0.101318563118,0.126081168261
763,Kingsport Times-News,www.timesnews.net,36.524936,-82.547384,0.101318563118,0.126081168261
764,Roane County News,www.roanecounty.com,35.872562,-84.502194,0.101314881621,0.12503034308
765,Knoxville Daily Sun,www.knoxvilledailysun.com,35.970875,-83.946479,0.101315434648,0.125186546514
766,Knoxville Focus,www.knoxfocus.com,35.970875,-83.946479,0.101315434648,0.125186546514
767,Knoxville Journal,www.theknoxvillejournal.com,35.970875,-83.946479,0.101315434648,0.125186546514
768,Knoxville News-Sentinel,www.knoxnews.com,35.970875,-83.946479,0.101315434648,0.125186546514
769,Metro Pulse,www.metropulse.com,35.970875,-83.946479,0.101315434648,0.125186546514
770,Mundo Hispano,www.mundohispanoTN.com,35.970875,-83.946479,0.101315434648,0.125186546514
771,Shopper News Now,www.shoppernewsnow.com,35.970875,-83.946479,0.101315434648,0.125186546514
772,LaFollette Press,www.lafollettepress.com,36.37189,-84.12532,0.101317696987,0.125831600507
773,Macon County Times,www.maconcountytimes.com,36.524058,-86.030591,0.101318558145,0.126079731148
774,The Lebanon Democrat,www.lebanondemocrat.com,36.205208,-86.345557,0.101316755379,0.125561932795
775,Wilson Post,www.wilsonpost.com,36.205208,-86.345557,0.101316755379,0.125561932795
776,News-Herald,news-herald.net,35.810717,-84.279205,0.101314534064,0.124932468805
777,Marshall County Tribune,www.ltrib-gaz.com,35.44955,-86.788486,0.101312509568,0.124366819366
778,Buffalo River Review,www.buffaloriverreview.com,35.612181,-87.843247,0.101313420077,0.124620280832
779,Overton County News,overtoncountynews.com,36.38791,-85.327301,0.10131778758,0.125857635615
780,Monroe County Buzz,monroebuzz.com,35.524109,-84.364264,0.101312926768,0.124482767736
781,Manchester Times,www.manchestertimes.com,35.46119,-86.083108,0.101312574675,0.12438489292
782,The Saturday Independent,www.tsinews.com,35.46119,-86.083108,0.101312574675,0.12438489292
783,The Weakley County Press,www.nwtntoday.com,36.339637,-88.851133,0.101317514647,0.125779246528
784,Blount Today,www.blounttoday.com,35.746804,-83.978602,0.101314175156,0.124831634968
785,The Daily Times,www.thedailytimes.com,35.746804,-83.978602,0.101314175156,0.124831634968
786,Southern Standard,www.southernstandard.com,35.685897,-85.781679,0.101313833385,0.12473583894
787,Memphis Business Journal,www.bizjournals.com,35.103543,-89.978498,0.101310578583,0.123834280873
788,Memphis Daily News,www.memphisdailynews.com,35.103543,-89.978498,0.101310578583,0.123834280873
789,Memphis Flyer,www.memphisflyer.com,35.103543,-89.978498,0.101310578583,0.123834280873
790,The Commercial Appeal,www.commercialappeal.com,35.103543,-89.978498,0.101310578583,0.123834280873
791,Mirror-Exchange,milanmirrorexchange.com,35.912112,-88.754053,0.101315104019,0.125093090568
792,The Cumberland View,www.thecumberlandview.com,35.232572,-85.884197,0.10131129767,0.124031807434
793,The Citizen Tribune,www.citizentribune.com,36.203755,-83.296555,0.101316747179,0.125559591786
794,Mt Juliet Chronicle,www.thechronicleofmtjuliet.com,36.203237,-86.516504,0.101316744256,0.125558757248
795,Mt Juliet News,www.mtjulietnews.com,36.203237,-86.516504,0.101316744256,0.125558757248
796,The Tomahawk,www.thetomahawk.com,36.469357,-81.804934,0.10131824841,0.125990319087
797,Daily News Journal,www.dnj.com,35.852209,-86.416062,0.101314767213,0.124998099991
798,Murfreesboro Post,www.murfreesboropost.com,35.852209,-86.416062,0.101314767213,0.124998099991
799,Rutherford Reader,rutherfordreader.com,35.852209,-86.416062,0.101314767213,0.124998099991
807,Newport Plain Talk,www.newportplaintalk.com,35.96136,-83.197674,0.101315381096,0.125171395589
808,The Oak Ridge Observer,www.oakridgeobserver.com,35.966483,-84.290549,0.101315409928,0.125179552161
809,The Ridger,www.oakridger.com,35.966483,-84.290549,0.101315409928,0.125179552161
810,Paris Post-Intelligencer,www.parispi.net,36.292867,-88.308033,0.101317250354,0.125703476025
811,The Rogersville Review,therogersvillereview.com,36.407966,-83.003786,0.101317901018,0.12589025891
812,Savannah Courier,www.courieranywhere.com,35.22104,-88.235659,0.101311233353,0.124014102258
813,Independent Appeal,www.independentappeal.com,35.171442,-88.596257,0.10131095684,0.123938068704
814,The Mountiain Press,themountainpress.com,35.890039,-83.579429,0.101314979885,0.125058055871
