AL,Orange Beach city,30.293833,-87.586681
AL,Orrville town,32.306769,-87.245447
AL,Our Town CDP,32.842211,-85.967035
AL,Owens Cross Roads town,34.585458,-86.455027
AL,Oxford city,33.597601,-85.871171
AL,Ozark city,31.451615,-85.645035
AL,Paint Rock town,34.660898,-86.333995
AL,Panola CDP,32.946819,-88.262265
AL,Parrish town,33.732321,-87.280127
AL,Pelham city,33.321899,-86.742177
AL,Pell City city,33.560781,-86.268757
AL,Pennington town,32.206960,-88.055777
AL,Penton CDP,33.009832,-85.474824
AL,Perdido Beach town,30.353903,-87.505784
AL,Peterman CDP,31.583669,-87.263042
AL,Petrey town,31.850715,-86.203438
AL,Phenix City city,32.461670,-85.025021
AL,Phil Campbell town,34.351539,-87.706319
AL,Pickensville town,33.235783,-88.289443
AL,Piedmont city,33.926035,-85.615442
AL,Pike Road town,32.311887,-86.033007
AL,Pinckard town,31.319154,-85.536397
AL,Pine Apple town,31.872155,-86.989059
AL,Pine Hill town,31.985884,-87.587516
AL,Pine Level CDP,32.579542,-86.454318
AL,Pine Ridge town,34.447950,-85.784018
AL,Pinson city,33.703291,-86.669741
AL,Pisgah town,34.684366,-85.846010
AL,Pleasant Grove city,33.493607,-86.978217
AL,Pleasant Groves town,34.734810,-86.205431
AL,Point Clear CDP,30.494695,-87.909966
AL,Pollard town,31.023877,-87.172979
AL,Powell town,34.532534,-85.897879
AL,Prattville city,32.462235,-86.461264
AL,Priceville town,34.524483,-86.881676
AL,Prichard city,30.773095,-88.130721
AL,Providence town,32.342386,-87.776115
AL,Putnam CDP,32.018084,-88.033058
AL,Ragland town,33.746948,-86.139329
AL,Rainbow City city,33.928777,-86.084228
AL,Rainsville city,34.494442,-85.836548
AL,Ranburne town,33.525853,-85.339013
AL,Ray CDP,32.880419,-86.033966
AL,Red Bay city,34.436419,-88.136455
AL,Redland CDP,32.481426,-86.143759
AL,Red Level town,31.406711,-86.606217
AL,Redstone Arsenal CDP,34.687842,-86.661613
AL,Reece City town,34.077307,-86.034461
AL,Reeltown CDP,32.574211,-85.819562
AL,Reform town,33.378214,-88.017297
AL,Rehobeth town,31.124595,-85.439800
AL,Repton town,31.409716,-87.238931
AL,Ridgeville town,34.056939,-86.102874
AL,River Falls town,31.352398,-86.544609
AL,Riverside town,33.616394,-86.204358
AL,Riverview town,31.061143,-87.077437
AL,Roanoke city,33.145305,-85.369526
AL,Robertsdale city,30.557139,-87.704710
AL,Rock Creek CDP,33.477227,-87.081249
AL,Rockford town,32.896866,-86.208345
AL,Rock Mills CDP,33.159940,-85.281070
AL,Rockville CDP,31.405776,-87.844212
AL,Rogersville town,34.828033,-87.283266
AL,Rosa town,33.992756,-86.500325
AL,Russellville city,34.505737,-87.728192
AL,Rutledge town,31.724072,-86.302009
AL,St. Florian town,34.866980,-87.623535
AL,St. Stephens CDP,31.551773,-88.060668
AL,Saks CDP,33.711401,-85.853698
AL,Samson city,31.112417,-86.046735
AL,Sand Rock town,34.230200,-85.771561
AL,Sanford town,31.298820,-86.398859
AL,Saraland city,30.831585,-88.094117
AL,Sardis City town,34.172413,-86.119104
AL,Satsuma city,30.857874,-88.063383
AL,Scottsboro city,34.644641,-86.048205
AL,Section town,34.581644,-85.984942
AL,Selma city,32.416985,-87.034710
AL,Selmont-West Selmont CDP,32.377465,-87.007193
AL,Sheffield city,34.755494,-87.701265
AL,Shelby CDP,33.106882,-86.585403
AL,Shiloh town,34.463763,-85.877994
AL,Shoal Creek CDP,33.430763,-86.610925
AL,Shorter town,32.411509,-85.972756
AL,Silas town,31.767802,-88.325923
AL,Silverhill town,30.544644,-87.749201
AL,Sims Chapel CDP,31.249255,-88.142971
AL,Sipsey town,33.822119,-87.082918
AL,Skyline town,34.798524,-86.122430
AL,Slocomb city,31.112369,-85.598495
AL,Smiths Station city,32.535198,-85.110577
